customer_id,start_date,date_count,selling_price_mean,selling_price_std,selling_price_last,other_discount_mean,other_discount_std,other_discount_last,coupon_discount_mean,coupon_discount_std,coupon_discount_last,coupon_applied_mean,coupon_applied_std,coupon_applied_last,selling_price_ewm_mean,selling_price_ewm_std,coupon_discount_ewm_mean,coupon_discount_ewm_std,coupon_applied_ewm_mean,coupon_applied_ewm_std
1,2012-10-08,22,231.75545454545454,146.80920659229696,71.24,38.61590909090909,60.03317754606245,24.58,2.4286363636363637,11.391314274880266,0.0,0.045454545454545456,0.21320071635561041,0,232.7623542194753,104.85682183340163,2.1587878789598607,7.889813844012056,0.04040404040725923,0.14766636428995053
1,2013-02-16,31,229.4374193548387,146.0544556199899,131.07999999999998,36.29774193548387,52.00914815104982,3.56,5.113225806451614,12.45615494099116,17.81,0.1935483870967742,0.4016096644512494,1,229.57251307045897,101.01976772451786,4.905414453622008,8.906066333913834,0.18224485332909263,0.3096038150242962
1,2013-04-22,38,240.53710526315794,141.85008142226118,215.5,45.20894736842106,58.60904771908255,18.17,4.686842105263159,11.641274218652136,0.0,0.18421052631578946,0.39285945206319167,0,240.25819344617466,97.76762832972878,4.686057418917597,8.294822167926103,0.18417021142418077,0.2983979996153106
1,2013-05-19,40,237.46000000000004,141.74556084940653,305.27000000000004,44.7295,57.125753721111884,35.26,4.452500000000001,11.385944044956121,0.0,0.175,0.3848076442547927,0,236.90907668273826,97.52063140179358,4.452417172083303,8.144901750800173,0.17499574454089403,0.2934542562797067
1,2013-08-10,44,231.20545454545456,142.0704403481555,387.55,42.355000000000004,55.804378652075194,74.44,4.047727272727273,10.920472743757289,0.0,0.1590909090909091,0.36998942902446824,0,230.1338567945064,98.0916138048557,4.0477263432083435,7.864105107292272,0.15909086133211717,0.28406539389548213
1,2013-09-07,44,231.20545454545456,142.0704403481555,387.55,42.355000000000004,55.804378652075194,74.44,4.047727272727273,10.920472743757289,0.0,0.1590909090909091,0.36998942902446824,0,230.1338567945064,98.0916138048557,4.0477263432083435,7.864105107292272,0.15909086133211717,0.28406539389548213
1,2013-09-16,44,231.20545454545456,142.0704403481555,387.55,42.355000000000004,55.804378652075194,74.44,4.047727272727273,10.920472743757289,0.0,0.1590909090909091,0.36998942902446824,0,230.1338567945064,98.0916138048557,4.0477263432083435,7.864105107292272,0.15909086133211717,0.28406539389548213
1,2013-10-08,44,231.20545454545456,142.0704403481555,387.55,42.355000000000004,55.804378652075194,74.44,4.047727272727273,10.920472743757289,0.0,0.1590909090909091,0.36998942902446824,0,230.1338567945064,98.0916138048557,4.0477263432083435,7.864105107292272,0.15909086133211717,0.28406539389548213
2,2013-08-10,16,185.37937499999998,238.5955728694828,273.21,43.49999999999999,55.139410346260796,136.04999999999998,5.565625,22.262499999999996,0.0,0.0625,0.25,0,181.21305037785402,152.64900360698317,7.593221046581896,22.443257252772963,0.08526918637374391,0.25202984000868006
3,2013-02-16,21,287.59000000000003,248.0110968888287,409.63,79.77142857142859,102.12180400314685,17.45,2.8833333333333333,13.213093253789337,0.0,0.09523809523809523,0.4364357804719847,0,285.201726604736,163.86880014939968,2.8833645305328655,9.106643050939113,0.09523912569885604,0.30079745832994587
3,2013-05-19,24,276.0116666666667,237.25721602013112,47.37,76.10750000000002,96.31893950060775,9.26,2.5229166666666667,12.359716993793452,0.0,0.08333333333333333,0.40824829046386296,0,277.92218677842226,157.30889651424195,2.5229485357026666,8.547672200165701,0.08333438598522437,0.2823343418716994
4,2013-02-16,12,274.9550000000001,225.88820450914133,106.5,27.07083333333333,51.187567463973004,0.0,0.0,0.0,0.0,0.0,0.0,0,277.40628622073143,142.76302221267701,0.0,0.0,0.0,0.0
5,2013-02-02,46,156.99043478260876,134.78488446338025,284.6,14.526739130434782,23.792166970043624,0.0,0.0,0.0,0.0,0.0,0.0,0,155.3496345381402,89.4871571188024,0.0,0.0,0.0,0.0
5,2013-02-16,46,156.99043478260876,134.78488446338025,284.6,14.526739130434782,23.792166970043624,0.0,0.0,0.0,0.0,0.0,0.0,0,155.3496345381402,89.4871571188024,0.0,0.0,0.0,0.0
5,2013-05-19,59,187.1245762711865,206.90256331908267,569.56,16.45169491525424,28.72826291618031,0.0,0.0,0.0,0.0,0.0,0.0,0,182.35373497417356,146.64321328966082,0.0,0.0,0.0,0.0
