coupon_id,start_date,date_count,selling_price_mean,selling_price_std,selling_price_last,other_discount_mean,other_discount_std,other_discount_last,coupon_discount_mean,coupon_discount_std,coupon_discount_last,coupon_applied_mean,coupon_applied_std,coupon_applied_last,selling_price_ewm_mean,selling_price_ewm_std,coupon_discount_ewm_mean,coupon_discount_ewm_std,coupon_applied_ewm_mean,coupon_applied_ewm_std
1,2012-08-12,12,126.47999999999998,60.001893000440944,120.75,42.8025,92.4567140120667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.77777956675061,46.95657772917533,0.0,0.0,0.0,0.0
2,2012-08-12,4,93.4125,8.725000000000003,106.5,22.89,3.74,28.5,0.0,0.0,0.0,0.0,0.0,0.0,91.9946875,5.889375000000001,0.0,0.0,0.0,0.0
3,2012-10-08,3,131.55666666666667,5.964028280728835,124.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.61615384615385,4.128942655889197,0.0,0.0,0.0,0.0
4,2012-11-19,34,196.55558823529407,74.90033083194228,124.31,39.8105882352941,19.141236612022563,71.24,2.0952941176470588,5.824492817193622,17.81,0.11764705882352941,0.3270349700838643,1.0,196.7337385975924,51.57314483425782,1.9206862437499812,4.140513362852537,0.10784313552779237,0.232482502125353
6,2013-02-16,408,2108.620294117648,1082.5339236892282,5086.509999999999,502.5771813725492,292.3751521340381,845.22,12.246519607843133,23.675553988305687,0.0,0.4387254901960784,0.7426430937900514,0.0,2103.1157065711836,942.1605068392679,12.246117135649516,17.296456163550893,0.4387101738464943,0.5523767034998093
7,2013-02-16,405,878.7745925925921,519.6774655711175,2228.0,69.00091358024687,78.68390973001355,168.47999999999996,0.24182716049382716,2.8946836075596147,0.0,0.007407407407407408,0.08585299688250476,0.0,876.5442768533809,417.11382713338156,0.24182716049382713,2.0396774326982445,0.007407407407407408,0.06048029254706578
8,2013-02-16,404,2146.7702475247506,1112.5497250454464,5068.35,532.6016336633663,373.8125997439752,756.93,2.274826732673268,8.563539000789506,0.0,0.09900990099009901,0.3152044669434929,0.0,2141.3184319255533,954.6320145544881,2.274824915647447,6.177129045311504,0.09900976126184854,0.22150662012558303
9,2013-02-16,405,1008.5778024691361,506.16353711210934,1178.67,206.3021481481483,132.3375896569664,246.85,5.328864197530861,15.78592162273197,0.0,0.1580246913580247,0.4276531042873997,0.0,1007.5323457781419,425.7457980034664,5.328810575566742,11.369559314833982,0.15802318593969777,0.30405642231348967
10,2013-02-16,15,133.90666666666667,63.67384534447705,102.94,14.746,15.574087361475058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.1452032219036,47.494525233135256,0.0,0.0,0.0,0.0
11,2013-02-16,238,173.0921008403361,188.00429683290582,740.54,41.21974789915962,109.01915330084923,266.07,0.3861344537815126,5.956992219444391,0.0,0.008403361344537815,0.12964074471043288,0.0,172.08753029697715,139.30486272258943,0.3861344537815124,4.203333639682584,0.008403361344537813,0.09147624895935985
