coupon_id,start_date,item_id_count,selling_price_sum,selling_price_mean,selling_price_std,other_discount_sum,other_discount_mean,coupon_discount_sum,coupon_discount_mean,coupon_applied_sum,coupon_applied_mean
1,2012-08-12,3,400.72,133.57333333333335,91.77629559604885,150.31,50.10333333333333,0.0,0.0,0.0,0.0
2,2012-08-12,1,248.98,248.98,,35.62,35.62,0.0,0.0,0.0,0.0
3,2012-10-08,110,10559.120000000003,95.99200000000002,47.59002011253963,2459.5,22.35909090909091,35.62,0.3238181818181818,1.0,0.00909090909090909
4,2012-11-19,20,1786.6899999999996,89.33449999999998,49.969988411466595,516.14,25.807,0.0,0.0,0.0,0.0
6,2013-02-16,3385,374501.38999999774,110.63556573116625,173.42018954654233,63788.529999999926,18.84446971935005,2001.0899999999988,0.5911639586410632,56.0,0.01654357459379616
7,2013-02-16,2431,298772.3500000006,122.90100781571395,232.84404643207102,38371.96000000006,15.784434389140294,96.17000000000002,0.0395598519127931,3.0,0.0012340600575894694
8,2013-02-16,2553,332825.20999999956,130.36631805718744,219.35597162407825,50286.66999999992,19.697089698394013,635.83,0.24905209557383473,19.0,0.007442224833529181
9,2013-02-16,2575,302908.4799999986,117.63436116504799,219.8781630124856,39816.54,15.462733980582525,889.41,0.3454019417475728,24.0,0.009320388349514564
10,2013-02-16,139,10326.930000000002,74.29446043165468,43.43676561965233,1567.9800000000002,11.28043165467626,106.85999999999999,0.7687769784172661,3.0,0.02158273381294964
11,2013-02-16,198,20404.52999999999,103.05318181818177,92.38157465376914,7257.470000000002,36.6538888888889,145.69,0.7358080808080808,2.0,0.010101010101010102
12,2013-02-16,7,938.22,134.03142857142856,59.1406167335026,169.56,24.222857142857144,0.0,0.0,0.0,0.0
13,2013-02-16,14,1104.9199999999998,78.92285714285713,31.73784283992641,177.74,12.695714285714287,19.59,1.3992857142857142,1.0,0.07142857142857142
14,2013-02-16,1,129.66,129.66,,24.93,24.93,12.47,12.47,1.0,1.0
15,2013-04-08,3,426.36,142.12,64.21486821601366,0.0,0.0,0.0,0.0,0.0,0.0
16,2013-01-07,8,393.59000000000003,49.198750000000004,23.61005865394784,35.26,4.4075,8.9,1.1125,1.0,0.125
17,2013-02-02,346,36571.31,105.69742774566474,69.82126081273717,5839.439999999999,16.876994219653174,80.14,0.2316184971098266,2.0,0.005780346820809248
18,2013-03-11,369,37349.57,101.21834688346884,76.90113162598847,6398.439999999995,17.339945799457983,272.48,0.7384281842818429,8.0,0.02168021680216802
19,2013-03-11,2893,385630.8100000013,133.29789491876988,239.88873878115058,50538.89000000003,17.46937089526444,431.34999999999997,0.14910127894918768,6.0,0.002073971655720705
20,2013-05-19,2906,314745.63000000094,108.30888850653852,174.19548608333872,43208.480000000054,14.868713007570562,85.49,0.02941844459738472,3.0,0.0010323468685478321
21,2013-05-19,4974,556064.099999999,111.79414957780439,186.3789281081461,82450.37999999971,16.576272617611522,1803.4299999999987,0.3625713711298751,46.0,0.009248090068355449
22,2013-05-19,5559,594521.9199999972,106.94763806439958,168.91228821156835,105049.43999999926,18.897182946572993,2263.249999999998,0.4071325778017626,78.0,0.014031300593631947
23,2013-05-19,4436,522975.2500000008,117.89342876465302,186.684447178259,68298.06999999995,15.396318755635697,1841.8599999999994,0.4152073940486924,49.0,0.011045987376014428
24,2013-05-19,4005,483156.39,120.63829962546816,195.86966975721197,74816.38999999996,18.6807465667915,315.23,0.07870911360799002,12.0,0.00299625468164794
25,2013-05-19,1,262.88,262.88,,0.0,0.0,0.0,0.0,0.0,0.0
26,2013-05-19,1,106.5,106.5,,35.62,35.62,0.0,0.0,0.0,0.0
27,2013-05-19,82,7932.969999999996,96.7435365853658,55.58312887678431,5267.090000000004,64.23280487804882,240.41000000000003,2.931829268292683,9.0,0.10975609756097561
28,2013-07-15,14,2745.5600000000004,196.1114285714286,121.88768202148826,286.03,20.430714285714284,35.62,2.544285714285714,1.0,0.07142857142857142
