customer_id,coupon_id,start_date,item_id_count,selling_price_sum,selling_price_mean,selling_price_std,other_discount_sum,other_discount_mean,coupon_discount_sum,coupon_discount_mean,coupon_applied_sum,coupon_applied_mean
1,24,2013-05-19,6,533.5899999999999,88.93166666666666,25.492396840365295,35.26,5.876666666666666,12.47,2.0783333333333336,1.0,0.16666666666666666
1,30,2013-08-10,15,1180.4399999999998,78.69599999999998,36.785263314850106,245.78,16.38533333333333,35.62,2.3746666666666667,1.0,0.06666666666666667
1,32,2013-08-10,5,559.5899999999999,111.91799999999998,68.27782524363236,70.88000000000001,14.176000000000002,39.18,7.836,2.0,0.4
1,38,2013-09-16,2,80.14,40.07,6.293250352560277,40.25,20.125,0.0,0.0,0.0,0.0
1,389,2013-09-07,1,168.84,168.84,,46.31,46.31,26.71,26.71,1.0,1.0
1,390,2013-09-07,1,168.84,168.84,,46.31,46.31,26.71,26.71,1.0,1.0
1,416,2012-10-08,1,320.58,320.58,,169.91,169.91,0.0,0.0,0.0,0.0
1,417,2013-10-08,1,320.58,320.58,,169.91,169.91,0.0,0.0,0.0,0.0
1,452,2013-09-16,1,71.24,71.24,,13.89,13.89,0.0,0.0,0.0,0.0
1,518,2013-09-16,1,53.43,53.43,,45.95,45.95,0.0,0.0,0.0,0.0
1,526,2013-04-22,1,71.24,71.24,,70.53,70.53,0.0,0.0,0.0,0.0
1,526,2013-08-10,1,71.24,71.24,,70.53,70.53,0.0,0.0,0.0,0.0
1,772,2013-02-16,1,89.05,89.05,,35.26,35.26,0.0,0.0,0.0,0.0
1,833,2013-09-07,1,168.84,168.84,,46.31,46.31,26.71,26.71,1.0,1.0
1,834,2013-09-07,1,168.84,168.84,,46.31,46.31,26.71,26.71,1.0,1.0
1,841,2013-09-07,1,37.4,37.4,,0.0,0.0,0.0,0.0,0.0,0.0
1,864,2013-09-07,1,142.12,142.12,,0.0,0.0,0.0,0.0,0.0,0.0
1,868,2012-10-08,3,331.98,110.66000000000001,23.918325610293042,62.34,20.78,0.0,0.0,0.0,0.0
1,869,2013-09-16,3,331.98,110.66000000000001,23.918325610293042,62.34,20.78,0.0,0.0,0.0,0.0
1,869,2013-10-08,3,331.98,110.66000000000001,23.918325610293042,62.34,20.78,0.0,0.0,0.0,0.0
1,899,2013-10-08,1,110.07,110.07,,0.0,0.0,0.0,0.0,0.0,0.0
1,1008,2013-08-10,3,284.6,94.86666666666667,10.074762197358973,34.9,11.633333333333333,0.0,0.0,0.0,0.0
1,1079,2013-09-16,3,213.71999999999997,71.24,0.0,77.3,25.766666666666666,0.0,0.0,0.0,0.0
2,32,2013-08-10,2,251.48,125.74,87.65295659588443,0.0,0.0,0.0,0.0,0.0,0.0
2,877,2013-08-10,1,89.05,89.05,,78.01,78.01,89.05,89.05,1.0,1.0
3,21,2013-05-19,3,237.59,79.19666666666667,24.66699481763705,138.56,46.18666666666667,0.0,0.0,0.0,0.0
3,804,2013-02-16,1,142.12,142.12,,71.24,71.24,0.0,0.0,0.0,0.0
3,995,2013-05-19,1,142.48,142.48,,27.78,27.78,0.0,0.0,0.0,0.0
4,9,2013-02-16,1,106.5,106.5,,0.0,0.0,0.0,0.0,0.0,0.0
5,30,2013-08-10,9,599.13,66.57,35.5819954471359,132.51,14.723333333333333,0.0,0.0,0.0,0.0
5,624,2013-02-16,1,76.23,76.23,,0.0,0.0,0.0,0.0,0.0,0.0
5,702,2013-08-10,1,106.5,106.5,,35.62,35.62,0.0,0.0,0.0,0.0
6,444,2013-03-11,1,76.23,76.23,,37.4,37.4,0.0,0.0,0.0,0.0
6,457,2013-04-08,2,98.31,49.155,34.75429829531882,0.0,0.0,0.0,0.0,0.0,0.0
6,549,2013-07-15,2,533.5899999999999,266.79499999999996,191.42087673501024,0.0,0.0,0.0,0.0,0.0,0.0
7,32,2013-08-10,10,1382.7600000000002,138.276,73.36194566061556,439.54999999999995,43.955,178.1,17.81,2.0,0.2
7,567,2013-09-16,1,117.19,117.19,,0.0,0.0,0.0,0.0,0.0,0.0
7,783,2013-04-22,1,127.88,127.88,,0.0,0.0,0.0,0.0,0.0,0.0
7,960,2013-05-19,1,35.62,35.62,,13.89,13.89,0.0,0.0,0.0,0.0
8,8,2013-02-16,6,879.1,146.51666666666668,61.734931980740576,267.87,44.645,0.0,0.0,0.0,0.0
8,22,2013-05-19,12,1549.1100000000001,129.0925,77.08372321113524,264.30999999999995,22.025833333333328,0.0,0.0,0.0,0.0
8,117,2013-05-19,1,67.32,67.32,,0.0,0.0,0.0,0.0,0.0,0.0
8,241,2013-09-16,1,71.24,71.24,,20.66,20.66,0.0,0.0,0.0,0.0
8,423,2013-08-10,1,88.69,88.69,,35.62,35.62,17.81,17.81,1.0,1.0
8,455,2013-01-12,3,99.74000000000001,33.24666666666667,8.221467833260274,4.99,1.6633333333333333,0.0,0.0,0.0,0.0
8,463,2013-08-10,2,89.05,44.525,12.593571772932412,66.97,33.485,0.0,0.0,0.0,0.0
8,492,2013-09-16,1,63.76,63.76,,3.56,3.56,17.81,17.81,1.0,1.0
8,497,2013-08-10,1,63.76,63.76,,3.56,3.56,17.81,17.81,1.0,1.0
8,532,2013-02-16,1,178.1,178.1,,87.98,87.98,0.0,0.0,0.0,0.0
8,559,2013-02-16,1,213.36,213.36,,17.81,17.81,0.0,0.0,0.0,0.0
8,586,2013-05-19,1,77.3,77.3,,0.0,0.0,0.0,0.0,0.0,0.0
8,590,2013-09-16,1,86.91,86.91,,0.0,0.0,0.0,0.0,0.0,0.0
8,689,2013-01-12,3,1673.06,557.6866666666666,411.3043317706893,113.98,37.99333333333333,71.24,23.746666666666666,1.0,0.3333333333333333
8,689,2013-04-08,3,1673.06,557.6866666666666,411.3043317706893,113.98,37.99333333333333,71.24,23.746666666666666,1.0,0.3333333333333333
8,803,2013-01-07,1,95.46,95.46,,0.0,0.0,0.0,0.0,0.0,0.0
8,811,2013-09-16,1,178.1,178.1,,106.15,106.15,0.0,0.0,0.0,0.0
8,869,2013-09-16,1,83.35,83.35,,48.09,48.09,0.0,0.0,0.0,0.0
8,869,2013-10-08,1,83.35,83.35,,48.09,48.09,0.0,0.0,0.0,0.0
8,895,2013-01-07,1,66.97,66.97,,46.66,46.66,0.0,0.0,0.0,0.0
8,934,2013-01-12,3,67.68,22.560000000000002,7.811549142135637,0.0,0.0,0.0,0.0,0.0,0.0
8,934,2013-04-08,3,67.68,22.560000000000002,7.811549142135637,0.0,0.0,0.0,0.0,0.0,0.0
8,1079,2013-09-16,1,59.49,59.49,,11.4,11.4,0.0,0.0,0.0,0.0
9,796,2013-08-10,1,71.24,71.24,,24.58,24.58,0.0,0.0,0.0,0.0
10,6,2013-02-16,1,42.39,42.39,,0.0,0.0,0.0,0.0,0.0,0.0
10,62,2013-02-16,1,142.12,142.12,,89.05,89.05,0.0,0.0,0.0,0.0
10,75,2013-02-16,1,120.4,120.4,,0.0,0.0,0.0,0.0,0.0,0.0
11,7,2013-02-16,5,605.89,121.178,58.28662170687198,29.21,5.8420000000000005,0.0,0.0,0.0,0.0
11,21,2013-05-19,6,950.34,158.39000000000001,104.24870454830602,153.88,25.646666666666665,0.0,0.0,0.0,0.0
11,417,2013-08-10,1,106.86,106.86,,56.64,56.64,0.0,0.0,0.0,0.0
11,600,2013-08-10,1,71.24,71.24,,35.26,35.26,0.0,0.0,0.0,0.0
12,11,2013-02-16,2,234.74,117.37,25.441701987091992,0.0,0.0,0.0,0.0,0.0,0.0
12,21,2013-05-19,13,1491.04,114.69538461538461,50.23343667574826,243.29000000000002,18.714615384615385,0.0,0.0,0.0,0.0
12,440,2013-05-19,2,261.09,130.545,16.878638866922888,207.66000000000003,103.83000000000001,0.0,0.0,0.0,0.0
12,567,2013-09-16,1,138.56,138.56,,0.0,0.0,0.0,0.0,0.0,0.0
12,570,2013-08-10,2,245.42,122.71,27.959002128116083,148.9,74.45,0.0,0.0,0.0,0.0
12,574,2013-09-16,1,35.62,35.62,,70.88,70.88,0.0,0.0,0.0,0.0
12,865,2013-05-19,1,131.44,131.44,,10.69,10.69,0.0,0.0,0.0,0.0
12,865,2013-08-10,1,131.44,131.44,,10.69,10.69,0.0,0.0,0.0,0.0
12,885,2013-05-19,5,710.25,142.05,55.935621476837106,17.81,3.562,0.0,0.0,0.0,0.0
12,887,2013-08-10,5,710.25,142.05,55.935621476837106,17.81,3.562,0.0,0.0,0.0,0.0
13,44,2013-10-21,1,59.49,59.49,,36.33,36.33,0.0,0.0,0.0,0.0
13,125,2013-05-19,1,53.43,53.43,,31.7,31.7,0.0,0.0,0.0,0.0
13,189,2013-08-10,1,170.62,170.62,,0.0,0.0,0.0,0.0,0.0,0.0
13,432,2013-09-16,1,70.88,70.88,,21.37,21.37,0.0,0.0,0.0,0.0
13,492,2013-09-16,1,106.5,106.5,,7.12,7.12,0.0,0.0,0.0,0.0
13,518,2013-09-16,1,59.49,59.49,,39.89,39.89,0.0,0.0,0.0,0.0
13,522,2013-10-21,1,59.49,59.49,,39.89,39.89,0.0,0.0,0.0,0.0
13,570,2013-08-10,1,102.94,102.94,,28.5,28.5,0.0,0.0,0.0,0.0
13,671,2013-09-07,3,179.17000000000002,59.723333333333336,0.20207259421636983,0.36,0.12,0.0,0.0,0.0,0.0
13,703,2013-07-29,1,71.24,71.24,,13.89,13.89,0.0,0.0,0.0,0.0
13,726,2013-09-07,3,142.11,47.370000000000005,4.936344801571297,17.1,5.7,0.0,0.0,0.0,0.0
13,796,2013-07-29,3,270.35,90.11666666666667,25.380871406106873,45.24,15.08,0.0,0.0,0.0,0.0
13,981,2013-07-29,1,85.13,85.13,,0.0,0.0,0.0,0.0,0.0,0.0
13,981,2013-09-16,1,85.13,85.13,,0.0,0.0,0.0,0.0,0.0,0.0
13,1065,2013-05-19,2,71.24,35.62,0.0,13.54,6.77,0.0,0.0,0.0,0.0
13,1069,2013-07-29,1,89.05,89.05,,102.94,102.94,0.0,0.0,0.0,0.0
13,1069,2013-10-21,1,89.05,89.05,,102.94,102.94,0.0,0.0,0.0,0.0
14,6,2013-02-16,11,995.2199999999999,90.47454545454545,50.18153352850754,235.09,21.37181818181818,0.0,0.0,0.0,0.0
14,8,2013-02-16,9,790.76,87.86222222222221,52.0785699155079,70.88,7.875555555555555,0.0,0.0,0.0,0.0
14,20,2013-05-19,1,35.62,35.62,,35.26,35.26,0.0,0.0,0.0,0.0
14,23,2013-05-19,3,412.12,137.37333333333333,41.74584570149865,24.93,8.31,0.0,0.0,0.0,0.0
14,24,2013-05-19,10,925.76,92.576,51.31297501065831,70.88,7.087999999999999,0.0,0.0,0.0,0.0
14,30,2013-08-10,12,892.2599999999999,74.35499999999999,42.29928873246838,181.31,15.109166666666667,0.0,0.0,0.0,0.0
